"GroupId","PersonalId","HomePlanet","CryoSleep","Deck","Num","Side","Destination","Age","VIP","RoomService","FoodCourt","ShoppingMall","Spa","VRDeck","FirstName","LastName","Transported"
1,1,"Europa",FALSE,"B",0,"P","TRAPPIST-1e",39,FALSE,0,0,0,0,0,"Maham","Ofracculy",0
3,2,"Europa",FALSE,"A",0,"S","TRAPPIST-1e",33,FALSE,0,1283,371,3329,193,"Solam","Susent",0
4,1,"Earth",FALSE,"F",1,"S","TRAPPIST-1e",16,FALSE,303,70,151,565,2,"Willy","Santantines",1
5,1,"Earth",FALSE,"F",0,"P","PSO J318.5-22",44,FALSE,0,483,0,291,0,"Sandie","Hinetthews",1
6,2,"Earth",TRUE,"G",0,"S","TRAPPIST-1e",28,FALSE,0,0,0,0,0,"Candra","Jacostaffey",1
8,1,"Europa",TRUE,"B",1,"P","55 Cancri e",14,FALSE,0,0,0,0,0,"Erraiam","Flatic",1
8,2,"Europa",TRUE,"B",1,"P","TRAPPIST-1e",34,FALSE,0,0,294.5,0,0,"Altardr","Flatic",1
8,3,"Europa",FALSE,"B",1,"P","55 Cancri e",45,FALSE,39,7295,589,110,124,"Wezena","Flatic",1
9,1,"Mars",FALSE,"F",1,"P","TRAPPIST-1e",32,FALSE,73,0,1123,0,113,"Berers","Barne",1
10,1,"Earth",FALSE,"G",1,"S","TRAPPIST-1e",48,FALSE,719,1,65,0,24,"Reney","Baketton",0
11,1,"Earth",FALSE,"F",2,"P","TRAPPIST-1e",28,FALSE,8,974,12,2,7,"Elle","Bertsontry",1
12,1,"Earth",FALSE,"F",148.371624119368,"S","TRAPPIST-1e",31,FALSE,32,0,876,0,0,"Justie","Pooles",0
14,1,"Mars",FALSE,"F",3,"P","55 Cancri e",27,FALSE,1286,122,236.020868769229,0,0,"Flats","Eccle",0
15,1,"Earth",FALSE,"F",4,"P","55 Cancri e",24,FALSE,0,1,0,0,637,"Carry","Hughriend",0
16,1,"Mars",TRUE,"F",5,"P","TRAPPIST-1e",45,FALSE,0,0,0,0,0,"Alus","Upead",1
17,1,"Earth",FALSE,"G",0,"P","TRAPPIST-1e",0,FALSE,0,0,0,0,0,"Lyde","Brighttt",1
20,1,"Earth",TRUE,"E",0,"S","TRAPPIST-1e",1,FALSE,0,0,0,0,0,"Almary","Brantuarez",0
20,2,"Earth",TRUE,"E",0,"S","55 Cancri e",49,FALSE,0,0,0,0,0,"Glendy","Brantuarez",0
20,3,"Earth",TRUE,"E",0,"S","55 Cancri e",29,FALSE,0,0,0,0,0,"Mollen","Mcfaddennon",0
20,4,"Earth",FALSE,"E",0,"S","TRAPPIST-1e",10,FALSE,0,0,0,0,0,"Breney","Jacostanley",1
20,5,"Earth",TRUE,"E",0,"S","PSO J318.5-22",1,FALSE,0,0,0,0,0,"Mael","Brantuarez",0
22,1,"Mars",FALSE,"D",0,"P","TRAPPIST-1e",21,FALSE,980,2,69,0,0,"NONE","NONE",0
24,1,"Europa",TRUE,"C",2,"S","TRAPPIST-1e",62,FALSE,0,0,46.1815454891843,0,0,"Penton","Fullided",1
25,1,"Earth",FALSE,"F",6,"S","TRAPPIST-1e",15,FALSE,0,225,0,998,0,"Karard","Brookenson",0
26,1,"Europa",FALSE,"C",0,"P","55 Cancri e",34,FALSE,22,6073,0,1438,328,"Anyoni","Unconary",0
